GERMAN,ENGLISH
krise ,crisis 
verlierer ,loser 
spencer ,spencer 
with ,with 
kekse ,cookies 
ausschalten ,turn off 
penis ,penis 
profi ,professional 
whisky ,whiskey 
erledige ,do 
gelächter ,laughter 
fängst ,catch 
erklär ,explain 
einspruch ,objection 
angeln ,fishing 
rausgehen ,go out 
monk ,monk 
kaution ,deposit 
eures ,yours 
gesessen ,sat 
verrate ,betray 
kehrt ,returns 
boy ,boy 
summe ,sum 
lade ,load 
billig ,cheap 
curtis ,curtis 
bernard ,Bernard 
juni ,June 
gerissen ,ripped 
festgenommen ,arrested 
ralph ,ralph 
befohlen ,ordered 
überlege ,consider 
koordinaten ,coordinates 
flog ,flew 
herzinfarkt ,heart attack 
hinlegen ,lie down 
nahrung ,food 
liege ,lie 
geflohen ,fled 
knall ,bang 
nebenbei ,alongside 
mylord ,my lord 
nachbar ,neighbor 
küss ,kiss 
lhrem ,yours 
geleistet ,accomplished 
nutzt ,uses 
fröhliche ,happy ones 
nebel ,fog 
front ,front 
veränderung ,change 
affe ,ape 
kontaktieren ,contact 
brand ,fire 
fuhren ,lead 
zwischenzeit ,in the meantime 
eingesetzt ,used 
anton ,anton 
philip ,Philip 
megan ,megan 
schlimmeres ,worse 
rennt ,runs 
anlegen ,invest 
nachzudenken ,to think about 
schwör ,swear 
übliche ,usual 
kreatur ,creature 
verderben ,spoil 
medizinische ,medical 
besetzt ,occupied 
zugriff ,access 
kanal ,channel 
blutdruck ,blood pressure 
grüne ,green 
ausgeben ,spend 
papi ,daddy 
clown ,clown 
lhrer ,yours 
sonny ,sonny 
schwören ,swear 
hühnchen ,chicken 
arten ,species 
aufgebaut ,constructed 
sydney ,Sydney 
betrügen ,deceive 
steele ,steele 
trank ,drank 
glatt ,smooth 
trainiert ,trained 
indien ,India 
autor ,author 
geweint ,cried 
blume ,flower 
verletzungen ,injuries 
special ,special 
zwillinge ,twins 
mia ,mia 
reißt ,tears 
zeigst ,show 
stirb ,die 
justin ,Justin 
diane ,diane 
gefickt ,fucked 
schlägst ,beats 
moskau ,Moscow 
erwartest ,expect 
gestoßen ,bumped 
durchgehen ,go through 
praxis ,practice 
gründlich ,thorough 
benny ,benny 
eingeschlossen ,included 
tragödie ,tragedy 
vollständig ,complete 
rasse ,race 
lance ,lance 
vertraust ,trusted 
kummer ,sorrow 
eigener ,own 
christine ,christine 
partei ,party 
zentrum ,center 
testament ,testament 
entfernung ,distance 
private ,private 
welten ,worlds 
verlegen ,embarrassed 
heroin ,heroin 
erfuhr ,learned 
gelände ,terrain 
kutsche ,coach 
dummer ,stupider 
homer ,Homer 
stabil ,stable 
ausgeschlossen ,excluded 
out ,out 
draus ,out 
aufgehoben ,lifted 
single ,single 
regisseur ,director 
vielmals ,many times 
dylan ,dylan 
bestand ,existed 
k ,k 
erbe ,heritage 
weggelaufen ,ran away 
jim-bob ,jim bob 
noah ,Noah 
leichte ,light 
zuständig ,responsible 
losgehen ,go off 
long ,long 
hustet ,coughs 
brutal ,brutally 
besprochen ,discussed 
halbes ,half 
bargeld ,cash 
peggy ,Peggy 
action ,action 
zusammenarbeiten ,work together 
beunruhigt ,worried 
achte ,eighth 
innere ,inner 
kanone ,cannon 
eklig ,disgusting 
x ,x 
armes ,poor 
avenue ,avenue 
öffentlich ,public 
nützt ,useful 
marine ,marine 
brillant ,brilliant 
köder ,bait 
gespräche ,conversations 
nähert ,approaches 
vorgehen ,proceed 
kleinigkeit ,trifle 
kissen ,pillow 
manny ,Manny 
geisel ,hostage 
gerecht ,just 
trost ,comfort 
gehasst ,hated 
a. ,a. 
gesorgt ,taken care of 
archer ,archer 
spinner ,spinner 
vergebung ,forgiveness 
vieh ,cattle 
schnelle ,fast 
normales ,normal 
gefesselt ,tied up 
lautes ,loud 
kalte ,cold 
leitet ,directs 
angehen ,tackle 
ekelhaft ,disgusting 
salat ,lettuce 
schicht ,layer 
intelligent ,intelligent 
meg ,meg 
verhältnis ,relationship 
socken ,socks 
brieftasche ,wallet 
holly ,holly 
packt ,packs 
eventuell ,possibly 
nirgendwohin ,nowhere 
methode ,method 
gelangen ,reach 
gespannt ,tense 
vernunft ,reason 
zurückgehen ,go back 
regnet ,raining 
drama ,drama 
entspannt ,relaxed 
wörter ,words 
klingeln ,ring 
ruhige ,quiet 
sprung ,jump 
anständig ,respectable 
gangster ,gangster 
harten ,hard 
aufzeichnungen ,records 
ofen ,oven 
cowboy ,cowboy 
endgültig ,finally 
aufgaben ,tasks 
ruh ,quiet 
deutsch ,German 
neil ,Neil 
wodka ,vodka 
know ,know 
air ,air 
respektieren ,respect 
riskant ,risky 
lohn ,salary 
zuviel ,too much 
zustimmen ,agree 
schnaps ,liquor 
troy ,troy 
stufe ,level 
erleichtert ,relieved 
scheune ,barn 
vanessa ,Vanessa 
klink ,clink 
spaziergang ,stroll 
katherine ,Katherine 
zettel ,note 
kotzen ,puke 
blödmann ,stupid 
hurra ,hurrah 
lana ,lana 
symptome ,symptoms 
vorfahren ,ancestors 
nutzlos ,useless 
shaw ,shaw 
telefonnummer ,phone number 
nochmals ,again 
grey ,grey 
medien ,media 
faul ,lazy 
dient ,serves 
russell ,Russell 
ereignisse ,events 
aussuchen ,choose 
verprügelt ,beaten up 
zweites ,second 
sherlock ,Sherlock 
fabelhaft ,fabulous 
klinge ,blade 
leistung ,perfomance 
beileid ,sympathy 
castle ,castle 
durchführen ,carry out 
mitchell ,Mitchell 
eröffnen ,open 
unschuld ,innocence 
seist ,be 
stoßen ,bump 
palmer ,palmer 
like ,like 
genügend ,enough 
sofa ,sofa 
gestatten ,allow 
gekocht ,cooked 
biest ,beast 
lydia ,lydia 
bräuchte ,would need 
ausgelöst ,triggered 
väter ,fathers 
verarscht ,fooled 
butter ,butter 
nachbarschaft ,neighborhood 
villa ,villa 
data ,data 
goldene ,golden ones 
schließe ,close 
saft ,juice 
begehen ,commit 
hauptquartier ,headquarters 
geschworen ,sworn 
abgenommen ,removed 
werkstatt ,workshop 
überreden ,convince 
nannten ,called 
gemüse ,vegetables 
schläger ,bat 
frisst ,eats 
bewundere ,admire 
geschieden ,divorced 
assistentin ,assistant 
wettbewerb ,competition 
lebten ,lived 
sieger ,winner 
verfassung ,constitution 
küsst ,kisses 
fußball ,football 
geschnitten ,cut 
master ,master 
quietschen ,squeak 
füttern ,feed 
gürtel ,belt 
unschuldigen ,innocent 
menschlich ,human 
eigenartig ,peculiar 
oje ,oh dear 
hanna ,Hanna 
kabel ,cable 
duke ,Duke 
franz ,French 
zahn ,tooth 
landet ,lands 
kisten ,boxes 
liegst ,lie 
mona ,mona 
krankenstation ,hospital ward 
leine ,leash 
beschreibung ,description 
ausmacht ,makes up 
beschädigt ,damaged 
grundstück ,property 
steckte ,stuck 
bahn ,train 
turm ,tower 
mine ,mine 
sauerstoff ,oxygen 
nö ,nope 
angesichts ,given 
ll ,ll 
versager ,failure 
deinetwegen ,because of you 
vic ,vic 
angeklagt ,accused 
aufhört ,stops 
baden ,bathe 
knacken ,crack 
verbindungen ,connections 
panzer ,tank 
marcel ,Marcel 
bach ,Bach 
leiser ,quieter 
stimmengewirr ,babble of voices 
zerstörung ,destruction 
stirn ,forehead 
finn ,finn 
sanft ,soft 
kloster ,monastery 
charmant ,charming 
aufbauen ,build up 
thanksgiving ,thanksgiving 
anlass ,occasion 
zähle ,count 
verlieben ,fall in love 
atmosphäre ,atmosphere 
ronnie ,ronnie 
samantha ,samantha 
leber ,liver 
jener ,that one 
begegnen ,encounter 
dämlich ,stupid 
krawatte ,necktie 
juan ,Juan 
tarnung ,camouflage 
kanada ,Canada 
alpha ,alpha 
baker ,baker 
tabletten ,tablets 
faust ,fist 
auftreten ,appear 
monroe ,monroe 
blatt ,sheet 
gelöscht ,deleted 
dschungel ,jungle 
alison ,Alison 
niedlich ,cute 
c. ,c. 
klage ,suit 
wolltet ,wanted 
jonas ,jonas 
akt ,act 
schießerei ,shoot-out 
anwältin ,lawyer 
überleg ,consider 
frisur ,hairstyle 
spruch ,saying 
jene ,those 
moral ,moral 
angelegenheiten ,matters 
dokumente ,documents 
fröhlich ,cheerful 
spezies ,species 
oktober ,October 
schachtel ,box 
opfers ,victim 
noten ,grades 
ellie ,ellie 
irgendwohin ,somewhere 
nora ,Nora 
brunnen ,spring 
toby ,toby 
sandy ,Sandy 
lampe ,lamp 
craig ,craig 
jagt ,hunts 
eigentum ,property 
diebstahl ,theft 
spenden ,donate 
betrieb ,operation 
gemeinsame ,common 
absurd ,absurd 
gegensatz ,contrast 
frühling ,spring 
dünn ,thin 
ausland ,abroad 
schultern ,shoulder 
entwicklung ,development 
vergehen ,pass away 
ahnen ,guess 
verbessern ,improve 
herzog ,duke 
diskussion ,discussion 
gehalt ,salary 
lemon ,lemon 
freak ,freak 
glocke ,bell 
